Resolucao,Iteracoes,Threads,Tempo
512,100,1,0.582490
512,100,2,0.353176
512,100,4,0.188677
512,100,8,0.232685
512,500,1,2.912204
512,500,2,1.378894
512,500,4,0.899319
512,500,8,0.832845
512,1000,1,5.792009
512,1000,2,3.034578
512,1000,4,2.009556
512,1000,8,2.478332
1024,100,1,2.784404
1024,100,2,1.539491
1024,100,4,0.915286
1024,100,8,1.609855
1024,500,1,13.152487
1024,500,2,7.200579
1024,500,4,4.214367
1024,500,8,4.786032
1024,1000,1,23.404392
1024,1000,2,15.623378
1024,1000,4,10.223568
1024,1000,8,10.066865
2048,100,1,11.435237
2048,100,2,5.649540
2048,100,4,3.901218
2048,100,8,4.530215
2048,500,1,50.491906
2048,500,2,28.656933
2048,500,4,22.184578
2048,500,8,24.627538
2048,1000,1,103.865019
2048,1000,2,63.652472
2048,1000,4,41.472787
2048,1000,8,41.993605
512,100,1,0.444529
512,100,2,0.287967
512,100,4,0.270998
512,100,8,0.308902
512,500,1,2.505284
512,500,2,1.670447
512,500,4,1.080247
512,500,8,1.602807
512,1000,1,4.394193
512,1000,2,2.839617
512,1000,4,1.822601
512,1000,8,4.239764
1024,100,1,2.745632
1024,100,2,1.557744
1024,100,4,1.094584
1024,100,8,1.119878
1024,500,1,12.584418
1024,500,2,7.057538
1024,500,4,6.086574
1024,500,8,8.162940
1024,1000,1,23.653890
1024,1000,2,15.441367
1024,1000,4,9.683044
1024,1000,8,16.718119
2048,100,1,12.007645
2048,100,2,6.007116
2048,100,4,3.512686
2048,100,8,3.737702
2048,500,1,54.006702
2048,500,2,30.270688
2048,500,4,21.045668
2048,500,8,20.587255
2048,1000,1,99.637353
2048,1000,2,67.457213
2048,1000,4,46.165426
2048,1000,8,53.537004
512,100,1,0.196219
512,100,2,0.100179
512,100,4,0.108068
512,100,8,0.377607
512,500,1,1.123698
512,500,2,0.598578
512,500,4,0.370466
512,500,8,0.342160
512,1000,1,2.094592
512,1000,2,1.067846
512,1000,4,0.656830
512,1000,8,0.700547
1024,100,1,0.871010
1024,100,2,0.515364
1024,100,4,0.445994
1024,100,8,0.556678
1024,500,1,4.936406
1024,500,2,3.065398
1024,500,4,2.320305
1024,500,8,3.015186
1024,1000,1,10.994150
1024,1000,2,6.907122
1024,1000,4,5.368333
1024,1000,8,6.403357
2048,100,1,5.107235
2048,100,2,2.712848
2048,100,4,1.790843
2048,100,8,2.344106
2048,500,1,24.299059
2048,500,2,13.675846
2048,500,4,9.069097
2048,500,8,10.756566
2048,1000,1,44.132993
2048,1000,2,26.547039
512,100,1,0.181987
512,100,2,0.092988
512,100,4,0.059940
512,100,8,0.115564
512,500,1,0.909601
512,500,2,0.468007
512,500,4,0.305690
512,500,8,0.346861
512,1000,1,1.891054
512,1000,2,1.037227
512,1000,4,0.590891
512,1000,8,1.654529
1024,100,1,0.795590
1024,100,2,0.390398
1024,100,4,0.293561
1024,100,8,0.341048
1024,500,1,3.857111
1024,500,2,2.079145
1024,500,4,1.617009
1024,500,8,2.720496
1024,1000,1,9.594963
1024,1000,2,5.290139
1024,1000,4,3.252575
1024,1000,8,3.806976
2048,100,1,4.134557
2048,100,2,2.105171
2048,100,4,1.613129
2048,100,8,1.863765
2048,500,1,20.454403
2048,500,2,11.869424
2048,500,4,8.742162
2048,500,8,10.199602
2048,1000,1,49.398089
2048,1000,2,23.056695
2048,1000,4,15.601140
2048,1000,8,20.130192
